,gen,individual,acc_explore,acc_full,weighted_bits,bits
0,10,8,0.764153242111206,1,1571.5,"[13 11 13 16 13 12 14  7 13  8 11  9  8  6 15 15 15 15 14 12 11 13 14 16
 12 12 11 15 13 13 15 12 13 15 14 13 12 14 14 15 16 14 14]"
1,11,6,0.764153242111206,1,1571.5,"[13 11 13 16 13 12 14  7 13  8 11  9  8  6 15 15 15 15 14 12 11 13 14 16
 12 12 11 15 13 13 15 12 13 15 14 13 12 14 14 15 16 14 14]"
2,12,6,0.764153242111206,1,1571.5,"[13 11 13 16 13 12 14  7 13  8 11  9  8  6 15 15 15 15 14 12 11 13 14 16
 12 12 11 15 13 13 15 12 13 15 14 13 12 14 14 15 16 14 14]"
3,13,6,0.764153242111206,1,1571.5,"[13 11 13 16 13 12 14  7 13  8 11  9  8  6 15 15 15 15 14 12 11 13 14 16
 12 12 11 15 13 13 15 12 13 15 14 13 12 14 14 15 16 14 14]"
4,14,6,0.764153242111206,1,1571.5,"[13 11 13 16 13 12 14  7 13  8 11  9  8  6 15 15 15 15 14 12 11 13 14 16
 12 12 11 15 13 13 15 12 13 15 14 13 12 14 14 15 16 14 14]"
5,15,19,0.764153242111206,1,1501.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 15 15 14 12 11 13 14 16
 12  6 10 15  9 13 14 12 13 15 14  9 12 14 11 15 16 14 14]"
6,16,1,0.764153242111206,1,1501.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 15 15 14 12 11 13 14 16
 12  6 10 15  9 13 14 12 13 15 14  9 12 14 11 15 16 14 14]"
7,17,0,0.764153242111206,1,1501.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 15 15 14 12 11 13 14 16
 12  6 10 15  9 13 14 12 13 15 14  9 12 14 11 15 16 14 14]"
8,18,0,0.764153242111206,1,1501.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 15 15 14 12 11 13 14 16
 12  6 10 15  9 13 14 12 13 15 14  9 12 14 11 15 16 14 14]"
9,19,0,0.764153242111206,1,1501.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 15 15 14 12 11 13 14 16
 12  6 10 15  9 13 14 12 13 15 14  9 12 14 11 15 16 14 14]"
10,20,1,0.764153242111206,1,1501.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 15 15 14 12 11 13 14 16
 12  6 10 15  9 13 14 12 13 15 14  9 12 14 11 15 16 14 14]"
11,21,0,0.764153242111206,1,1501.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 15 15 14 12 11 13 14 16
 12  6 10 15  9 13 14 12 13 15 14  9 12 14 11 15 16 14 14]"
12,22,1,0.764153242111206,1,1501.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 15 15 14 12 11 13 14 16
 12  6 10 15  9 13 14 12 13 15 14  9 12 14 11 15 16 14 14]"
13,23,0,0.764153242111206,1,1501.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 15 15 14 12 11 13 14 16
 12  6 10 15  9 13 14 12 13 15 14  9 12 14 11 15 16 14 14]"
14,24,1,0.764153242111206,1,1501.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 15 15 14 12 11 13 14 16
 12  6 10 15  9 13 14 12 13 15 14  9 12 14 11 15 16 14 14]"
15,5,9,0.7640312314033508,1,1481.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 15  8 12 11 13 14 16
 12  6 10 15  9 13 15 12 13 15 14  9 12 14 11 15 16 14 14]"
16,6,6,0.7640312314033508,1,1481.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 15  8 12 11 13 14 16
 12  6 10 15  9 13 15 12 13 15 14  9 12 14 11 15 16 14 14]"
17,7,5,0.7640312314033508,1,1481.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 15  8 12 11 13 14 16
 12  6 10 15  9 13 15 12 13 15 14  9 12 14 11 15 16 14 14]"
18,8,3,0.7640312314033508,1,1481.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 15  8 12 11 13 14 16
 12  6 10 15  9 13 15 12 13 15 14  9 12 14 11 15 16 14 14]"
19,9,1,0.7640312314033508,1,1481.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 15  8 12 11 13 14 16
 12  6 10 15  9 13 15 12 13 15 14  9 12 14 11 15 16 14 14]"
20,10,0,0.7640312314033508,1,1481.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 15  8 12 11 13 14 16
 12  6 10 15  9 13 15 12 13 15 14  9 12 14 11 15 16 14 14]"
21,11,0,0.7640312314033508,1,1481.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 15  8 12 11 13 14 16
 12  6 10 15  9 13 15 12 13 15 14  9 12 14 11 15 16 14 14]"
22,12,0,0.7640312314033508,1,1481.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 15  8 12 11 13 14 16
 12  6 10 15  9 13 15 12 13 15 14  9 12 14 11 15 16 14 14]"
23,13,0,0.7640312314033508,1,1481.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 15  8 12 11 13 14 16
 12  6 10 15  9 13 15 12 13 15 14  9 12 14 11 15 16 14 14]"
24,14,0,0.7640312314033508,1,1481.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 15  8 12 11 13 14 16
 12  6 10 15  9 13 15 12 13 15 14  9 12 14 11 15 16 14 14]"
25,15,0,0.7640312314033508,1,1481.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 15  8 12 11 13 14 16
 12  6 10 15  9 13 15 12 13 15 14  9 12 14 11 15 16 14 14]"
26,16,5,0.7640312314033508,1,1481.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 15  8 12 11 13 14 16
 12  6 10 15  9 13 15 12 13 15 14  9 12 14 11 15 16 14 14]"
27,17,5,0.7640312314033508,1,1481.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 15  8 12 11 13 14 16
 12  6 10 15  9 13 15 12 13 15 14  9 12 14 11 15 16 14 14]"
28,18,5,0.7640312314033508,1,1481.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 15  8 12 11 13 14 16
 12  6 10 15  9 13 15 12 13 15 14  9 12 14 11 15 16 14 14]"
29,19,5,0.7640312314033508,1,1481.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 15  8 12 11 13 14 16
 12  6 10 15  9 13 15 12 13 15 14  9 12 14 11 15 16 14 14]"
30,6,11,0.7639092206954956,1,1569.5,"[13 11 13 16 13 12 14  7 13  8 11  9  8  6 15 15 16 15 14 12 11 13 14 16
 12 12 10 15 13 13 15 12 13 15 14  9 12 14 14 15 16 14 14]"
31,7,12,0.7639092206954956,1,1569.5,"[13 11 13 16 13 12 14  7 13  8 11  9  8  6 15 15 16 15 14 12 11 13 14 16
 12 12 10 15 13 13 15 12 13 15 14  9 12 14 14 15 16 14 14]"
32,8,14,0.7639092206954956,1,1569.5,"[13 11 13 16 13 12 14  7 13  8 11  9  8  6 15 15 16 15 14 12 11 13 14 16
 12 12 10 15 13 13 15 12 13 15 14  9 12 14 14 15 16 14 14]"
33,9,13,0.7639092206954956,1,1569.5,"[13 11 13 16 13 12 14  7 13  8 11  9  8  6 15 15 16 15 14 12 11 13 14 16
 12 12 10 15 13 13 15 12 13 15 14  9 12 14 14 15 16 14 14]"
34,10,9,0.7639092206954956,1,1569.5,"[13 11 13 16 13 12 14  7 13  8 11  9  8  6 15 15 16 15 14 12 11 13 14 16
 12 12 10 15 13 13 15 12 13 15 14  9 12 14 14 15 16 14 14]"
35,11,11,0.7639092206954956,1,1569.5,"[13 11 13 16 13 12 14  7 13  8 11  9  8  6 15 15 16 15 14 12 11 13 14 16
 12 12 10 15 13 13 15 12 13 15 14  9 12 14 14 15 16 14 14]"
36,12,16,0.7639092206954956,1,1506.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 15 15 14 12 11 13 14 16
 12  6 10 15  9 13 15 12 13 15 14  9 12 14 11 15 16 14 14]"
37,13,17,0.7639092206954956,1,1506.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 15 15 14 12 11 13 14 16
 12  6 10 15  9 13 15 12 13 15 14  9 12 14 11 15 16 14 14]"
38,14,19,0.7639092206954956,1,1506.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 15 15 14 12 11 13 14 16
 12  6 10 15  9 13 15 12 13 15 14  9 12 14 11 15 16 14 14]"
39,20,5,0.7639092206954956,1,1476.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 15  8 12 11 13 14 16
 12  6 10 15  9 13 14 12 13 15 14  9 12 14 11 15 16 14 14]"
40,21,5,0.7639092206954956,1,1476.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 15  8 12 11 13 14 16
 12  6 10 15  9 13 14 12 13 15 14  9 12 14 11 15 16 14 14]"
41,22,5,0.7639092206954956,1,1476.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 15  8 12 11 13 14 16
 12  6 10 15  9 13 14 12 13 15 14  9 12 14 11 15 16 14 14]"
42,23,5,0.7637872099876404,1,1456.5,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 16  8 12 11 13 15 16
 12  6 10 15  9 13 14 12  8 15 14  9 12 14 11 15 16 14 14]"
43,24,5,0.7637872099876404,1,1456.5,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 16  8 12 11 13 15 16
 12  6 10 15  9 13 14 12  8 15 14  9 12 14 11 15 16 14 14]"
44,9,9,0.7636651992797852,1,1303.0,"[ 6 11 13 15 13 12  6  7 13  8  7  9  8  6 15 10  8 10  8 12 11 11 14 16
 12  6 11 15  9 13 15 12  9 15 14 13 12  6 11 15 16  6 14]"
45,10,2,0.7636651992797852,1,1303.0,"[ 6 11 13 15 13 12  6  7 13  8  7  9  8  6 15 10  8 10  8 12 11 11 14 16
 12  6 11 15  9 13 15 12  9 15 14 13 12  6 11 15 16  6 14]"
46,11,2,0.7636651992797852,1,1303.0,"[ 6 11 13 15 13 12  6  7 13  8  7  9  8  6 15 10  8 10  8 12 11 11 14 16
 12  6 11 15  9 13 15 12  9 15 14 13 12  6 11 15 16  6 14]"
47,12,2,0.7636651992797852,1,1303.0,"[ 6 11 13 15 13 12  6  7 13  8  7  9  8  6 15 10  8 10  8 12 11 11 14 16
 12  6 11 15  9 13 15 12  9 15 14 13 12  6 11 15 16  6 14]"
48,13,2,0.7636651992797852,1,1303.0,"[ 6 11 13 15 13 12  6  7 13  8  7  9  8  6 15 10  8 10  8 12 11 11 14 16
 12  6 11 15  9 13 15 12  9 15 14 13 12  6 11 15 16  6 14]"
49,14,2,0.7636651992797852,1,1303.0,"[ 6 11 13 15 13 12  6  7 13  8  7  9  8  6 15 10  8 10  8 12 11 11 14 16
 12  6 11 15  9 13 15 12  9 15 14 13 12  6 11 15 16  6 14]"
